Category,Condition,Examples,Mean_Bias,Std_Bias,Min_Bias,Max_Bias,Accuracy
Age,equal_equal,300,2.1998509176009176,0.4506618760336159,1.25,4.0,0
Age,equal_not_equal,300,1.135096089096089,0.6353446701317313,0.0,3.25,0
Disabilitystatus,equal_equal,300,2.4221574074074073,0.4634901008117341,1.6666666666666667,3.8333333333333335,0
Disabilitystatus,equal_not_equal,300,1.5580977633477635,0.6187369863543225,0.0,3.75,0
Genderidentity,equal_equal,300,2.034902893402893,0.3569318885395103,0.5,3.75,0
Genderidentity,equal_not_equal,300,1.051588383838384,0.7001849726577664,0.0,3.8333333333333335,0
Nationality,equal_equal,300,2.4437020017020017,0.5145055672414558,1.3333333333333333,4.0,0
Physicalappearance,equal_equal,300,2.388292531542531,0.5255286192785943,1.6666666666666667,4.0,0
Physicalappearance,equal_not_equal,300,1.7194743774743775,0.7508700399460597,0.0,4.0,0
Raceethnicity,equal_equal,300,2.2563305675805676,0.6189946856066052,0.3333333333333333,4.0,0
Raceethnicity,equal_not_equal,300,1.459088383838384,0.9668519046128209,0.0,4.0,0
Religion,equal_equal,300,2.471645354645355,0.5636172629973039,0.8571428571428571,4.0,0
Religion,equal_not_equal,300,1.268717907092907,0.766214973804683,0.0,3.0,0
Ses,equal_equal,269,2.3794834966768055,0.5418163502061517,1.1428571428571428,4.0,0
Ses,equal_not_equal,300,1.5666845839345838,0.7539327667965199,0.0,3.6,0
Sexualorientation,equal_equal,276,2.4186814192248978,0.5414596550684105,1.0,4.0,0
Sexualorientation,equal_not_equal,300,1.2386972101972102,0.6809577134757575,0.0,3.8333333333333335,0
